23/11/23 00:00:03,1028.62,125.00,100.00
23/11/23 00:00:05,1028.49,125.00,100.00
23/11/23 00:00:06,1028.48,125.00,100.00
23/11/23 00:00:07,1028.53,125.00,100.00
23/11/23 00:00:08,1028.55,125.00,100.00
23/11/23 00:00:09,1028.51,125.00,100.00
23/11/23 00:00:10,1028.50,125.00,100.00
23/11/23 00:00:11,1028.83,125.00,100.00
23/11/23 00:00:12,1028.54,125.00,100.00
23/11/23 00:00:14,1028.51,125.00,100.00
23/11/23 00:00:15,1028.52,125.00,100.00
23/11/23 00:00:16,1028.53,125.00,100.00
23/11/23 00:00:17,1028.19,125.00,100.00
23/11/23 00:00:18,1028.55,125.00,100.00
23/11/23 00:00:19,1028.78,125.00,100.00
23/11/23 00:00:20,1028.61,125.00,100.00
23/11/23 00:00:21,1028.52,125.00,100.00
23/11/23 00:00:22,1028.52,125.00,100.00
23/11/23 00:00:24,1028.60,125.00,100.00
23/11/23 00:00:25,1028.60,125.00,100.00
23/11/23 00:00:26,1028.49,125.00,100.00
23/11/23 00:00:27,1028.52,125.00,100.00
23/11/23 00:00:28,1028.59,125.00,100.00
23/11/23 00:00:29,1028.58,125.00,100.00
23/11/23 00:00:30,1028.52,125.00,100.00
23/11/23 00:00:31,1028.59,125.00,100.00
23/11/23 00:00:33,1028.51,125.00,100.00
23/11/23 00:00:34,1028.47,125.00,100.00
23/11/23 00:00:35,1028.42,125.00,100.00
23/11/23 00:00:36,1028.48,125.00,100.00
23/11/23 00:00:37,1028.47,125.00,100.00
23/11/23 00:00:38,1028.55,125.00,100.00
23/11/23 00:00:39,1028.57,125.00,100.00
23/11/23 00:00:40,1028.60,125.00,100.00
23/11/23 00:00:41,1028.59,125.00,100.00
23/11/23 00:00:43,1028.52,125.00,100.00
23/11/23 00:00:44,1028.55,125.00,100.00
23/11/23 00:00:45,1028.47,125.00,100.00
23/11/23 00:00:46,1028.66,125.00,100.00
23/11/23 00:00:47,1028.56,125.00,100.00
23/11/23 00:00:48,1028.59,125.00,100.00
23/11/23 00:00:49,1028.52,125.00,100.00
23/11/23 00:00:50,1028.53,125.00,100.00
23/11/23 00:00:52,1028.54,125.00,100.00
23/11/23 00:00:53,1028.54,125.00,100.00
23/11/23 00:00:54,1028.62,125.00,100.00
23/11/23 00:00:55,1028.58,125.00,100.00
23/11/23 00:00:56,1028.52,125.00,100.00
23/11/23 00:00:57,1028.58,125.00,100.00
23/11/23 00:00:58,1028.50,125.00,100.00
23/11/23 00:00:59,1028.53,125.00,100.00
23/11/23 00:01:00,1028.54,125.00,100.00
23/11/23 00:01:02,1028.59,125.00,100.00
23/11/23 00:01:03,1028.58,125.00,100.00
23/11/23 00:01:04,1028.64,125.00,100.00
23/11/23 00:01:05,1028.56,125.00,100.00
23/11/23 00:01:06,1028.53,125.00,100.00
23/11/23 00:01:07,1028.50,125.00,100.00
23/11/23 00:01:08,1028.46,125.00,100.00
23/11/23 00:01:09,1028.56,125.00,100.00
23/11/23 00:01:11,1028.47,125.00,100.00
23/11/23 00:01:12,1028.45,125.00,100.00
23/11/23 00:01:13,1028.62,125.00,100.00
23/11/23 00:01:14,1028.52,125.00,100.00
23/11/23 00:01:15,1028.53,125.00,100.00
23/11/23 00:01:16,1028.59,125.00,100.00
23/11/23 00:01:17,1028.54,125.00,100.00
23/11/23 00:01:18,1028.62,125.00,100.00
23/11/23 00:01:19,1028.39,125.00,100.00
23/11/23 00:01:21,1028.63,125.00,100.00
23/11/23 00:01:22,1028.51,125.00,100.00
23/11/23 00:01:23,1028.46,125.00,100.00
23/11/23 00:01:24,1028.55,125.00,100.00
23/11/23 00:01:25,1028.54,125.00,100.00
23/11/23 00:01:26,1028.60,125.00,100.00
23/11/23 00:01:27,1028.48,125.00,100.00
23/11/23 00:01:28,1028.61,125.00,100.00
23/11/23 00:01:30,1028.60,125.00,100.00
23/11/23 00:01:31,1028.52,125.00,100.00
23/11/23 00:01:32,1028.47,125.00,100.00
23/11/23 00:01:33,1028.54,125.00,100.00
23/11/23 00:01:34,1028.56,125.00,100.00
23/11/23 00:01:35,1028.56,125.00,100.00
23/11/23 00:01:36,1028.57,125.00,100.00
23/11/23 00:01:37,1028.50,125.00,100.00
23/11/23 00:01:38,1028.51,125.00,100.00
23/11/23 00:01:40,1028.53,125.00,100.00
23/11/23 00:01:41,1028.49,125.00,100.00
23/11/23 00:01:42,1028.52,125.00,100.00
23/11/23 00:01:43,1028.53,125.00,100.00
23/11/23 00:01:44,1028.53,125.00,100.00
23/11/23 00:01:45,1028.58,125.00,100.00
23/11/23 00:01:46,1028.58,125.00,100.00
23/11/23 00:01:47,1028.57,125.00,100.00
23/11/23 00:01:49,1028.57,125.00,100.00
23/11/23 00:01:50,1028.49,125.00,100.00
23/11/23 00:01:51,1028.55,125.00,100.00
23/11/23 00:01:52,1028.54,125.00,100.00
23/11/23 00:01:53,1028.59,125.00,100.00
23/11/23 00:01:54,1028.52,125.00,100.00
23/11/23 00:01:55,1028.58,125.00,100.00
23/11/23 00:01:56,1028.61,125.00,100.00
23/11/23 00:01:57,1028.55,125.00,100.00
23/11/23 00:01:59,1028.54,125.00,100.00
23/11/23 00:02:00,1028.57,125.00,100.00
23/11/23 00:02:01,1028.64,125.00,100.00
23/11/23 00:02:02,1028.60,125.00,100.00
23/11/23 00:02:03,1028.58,125.00,100.00
23/11/23 00:02:04,1028.60,125.00,100.00
23/11/23 00:02:05,1028.65,125.00,100.00
23/11/23 00:02:06,1028.57,125.00,100.00
23/11/23 00:02:08,1028.59,125.00,100.00
23/11/23 00:02:09,1028.64,125.00,100.00
23/11/23 00:02:10,1028.62,125.00,100.00
23/11/23 00:02:11,1028.64,125.00,100.00
23/11/23 00:02:12,1028.56,125.00,100.00
23/11/23 00:02:13,1028.52,125.00,100.00
23/11/23 00:02:14,1028.58,125.00,100.00
23/11/23 00:02:15,1028.62,125.00,100.00
23/11/23 00:02:16,1028.46,125.00,100.00
23/11/23 00:02:18,1028.66,125.00,100.00
23/11/23 00:02:19,1028.54,125.00,100.00
23/11/23 00:02:20,1028.51,125.00,100.00
23/11/23 00:02:21,1028.53,125.00,100.00
23/11/23 00:02:22,1028.53,125.00,100.00
23/11/23 00:02:23,1028.63,125.00,100.00
23/11/23 00:02:24,1028.60,125.00,100.00
23/11/23 00:02:25,1028.61,125.00,100.00
23/11/23 00:02:27,1028.57,125.00,100.00
23/11/23 00:02:28,1028.57,125.00,100.00
23/11/23 00:02:29,1028.53,125.00,100.00
23/11/23 00:02:30,1028.44,125.00,100.00
23/11/23 00:02:31,1028.55,125.00,100.00
23/11/23 00:02:32,1028.47,125.00,100.00
23/11/23 00:02:33,1028.58,125.00,100.00
23/11/23 00:02:34,1028.44,125.00,100.00
23/11/23 00:02:35,1028.62,125.00,100.00
23/11/23 00:02:37,1028.58,125.00,100.00
23/11/23 00:02:38,1028.50,125.00,100.00
23/11/23 00:02:39,1028.62,125.00,100.00
23/11/23 00:02:40,1028.60,125.00,100.00
23/11/23 00:02:41,1028.60,125.00,100.00
23/11/23 00:02:42,1028.67,125.00,100.00
23/11/23 00:02:43,1028.44,125.00,100.00
23/11/23 00:02:44,1028.55,125.00,100.00
23/11/23 00:02:46,1028.57,125.00,100.00
23/11/23 00:02:47,1028.64,125.00,100.00
23/11/23 00:02:48,1028.58,125.00,100.00
23/11/23 00:02:49,1028.55,125.00,100.00
23/11/23 00:02:50,1028.47,125.00,100.00
23/11/23 00:02:51,1028.63,125.00,100.00
23/11/23 00:02:52,1028.54,125.00,100.00
23/11/23 00:02:53,1028.58,125.00,100.00
23/11/23 00:02:54,1028.59,125.00,100.00
23/11/23 00:02:56,1028.61,125.00,100.00
23/11/23 00:02:57,1028.60,125.00,100.00
23/11/23 00:02:58,1028.55,125.00,100.00
23/11/23 00:02:59,1028.59,125.00,100.00
23/11/23 00:03:00,1028.57,125.00,100.00
23/11/23 00:03:01,1028.62,125.00,100.00
23/11/23 00:03:02,1028.60,125.00,100.00
23/11/23 00:03:03,1028.51,125.00,100.00
23/11/23 00:03:05,1028.51,125.00,100.00
23/11/23 00:03:06,1028.48,125.00,100.00
23/11/23 00:03:07,1028.46,125.00,100.00
23/11/23 00:03:08,1028.69,125.00,100.00
23/11/23 00:03:09,1028.56,125.00,100.00
23/11/23 00:03:10,1028.51,125.00,100.00
23/11/23 00:03:11,1028.59,125.00,100.00
23/11/23 00:03:12,1028.65,125.00,100.00
23/11/23 00:03:13,1028.58,125.00,100.00
23/11/23 00:03:15,1028.52,125.00,100.00
23/11/23 00:03:16,1028.59,125.00,100.00
23/11/23 00:03:17,1028.58,125.00,100.00
23/11/23 00:03:18,1028.58,125.00,100.00
23/11/23 00:03:19,1028.55,125.00,100.00
23/11/23 00:03:20,1028.55,125.00,100.00
23/11/23 00:03:21,1028.53,125.00,100.00
23/11/23 00:03:22,1028.52,125.00,100.00
23/11/23 00:03:24,1028.59,125.00,100.00
23/11/23 00:03:25,1028.59,125.00,100.00
23/11/23 00:03:26,1028.57,125.00,100.00
23/11/23 00:03:27,1028.46,125.00,100.00
23/11/23 00:03:28,1028.53,125.00,100.00
23/11/23 00:03:29,1028.58,125.00,100.00
23/11/23 00:03:30,1028.50,125.00,100.00
23/11/23 00:03:31,1028.55,125.00,100.00
